id,name,text,trans
0000000000000,星南,お待たせ、プロデューサー。,久等了，制作人。
0000000000000,{user},約束した覚えはありませんよ。,我可不记的和你有约。
0000000000000,{user},いいんですか、敗北したばかりの\n担当アイドルたちを放っておいて。,放着刚吃了败仗的\n负责偶像们不管真的好吗？
0000000000000,星南,あの子たちに背を押されたのよ――\n会場から足早に去っていく\nあなたを見て。,是那些孩子从背后推了我一把——\n看到你匆匆离开会场\n的时候。
0000000000000,ことね,もう、なにやってるんですか、\n星南先輩。早く追いかけてください。,真是的，你在干什么呀，\n星南学姐。快追上去啦。
0000000000000,{user},ハハ……別に、逃げたりはしませんよ。,哈哈……我又不是在逃。
0000000000000,星南,そう？　なんだか様子が\nおかしかったから……心、配……,是吗？总觉得你的样子\n不太对劲，所以……担、心……
0000000000000,星南,プロデューサー……あなた……,制作人……你……
0000000000000,星南,泣いているの？,你在哭吗？
select,,……いけませんか？,……不可以吗？
0000000000000,星南,……どうして？,……为什么？
0000000000000,星南,私があなたの前で『<r\=プリマステラ>一番星</r>』に\nなったのは、二度目でしょう……？,我在你面前成为『启明星』，\n这已经是第二次了吧……？
0000000000000,星南,十王星南がトップアイドルになった\nあのときだって……,就连十王星南成为\n顶级偶像的那一次也是……
0000000000000,星南,プロデューサー……ありがとう。,制作人……谢谢你。
0000000000000,星南,ぜんぶ、ぜんぶ、あなたのおかげ。,全部，全部，都是你的功劳。
0000000000000,星南,あなたは……いつも通り平然と……\n私を支えてくれたじゃない。,你……不也一直像往常一样，那么从容地……\n支持着我的吗？
0000000000000,{user},アイドルが泣いている前で……\n涙を見せるわけにはいきません。,在哭泣的偶像面前……\n我是不能掉眼泪的。
0000000000000,{user},別れた後で泣きました。,是分开之后才哭的。
0000000000000,星南,――ここで、こうやって？,——就在这里、像这样？
0000000000000,{user},はい。夢が叶った……と。,是的。梦想实现了……
0000000000000,星南,……ばかね。,……真是个傻瓜呢。
0000000000000,星南,今回ばかりは……\n勉強に……ならないわ……,唯独这一次……\n我好像没办法……当成制作人的经验呢……
0000000000000,星南,追いかけて正解よ……覚悟なさい。,追过来是对的……做好觉悟吧。
0000000000000,星南,あの日のぶんも、一緒に泣くわ。,那一天的份……我也会一起哭出来。
0000000000000,星南,次に夢が叶うときも、そのまた次も。\n何度だってそうしましょう。,等下一个梦想实现的时候，再下一次也一样。\n不管多少次，我们都这样吧。
0000000000000,星南,いいわね。,好吗？
0000000000000,{user},必ず。……星南さん。,一定。……星南。
0000000000000,星南,……なあに？,……什么事？
0000000000000,{user},素晴らしい演説でした。,真是一场精彩的演讲。
0000000000000,{user},トップアイドルになったあの日よりも、\nさらに大胆な宣言でしたね。,是比成为顶级偶像的那天，\n还要更加大胆的宣言呢。
0000000000000,星南,そのくらいしなければ、\n申し訳が立たないと思ったの。,我觉得至少要做到这种程度，\n才算对得起大家。
0000000000000,星南,学園全体の注目度が大きく上がり、\n今後、初星学園のアイドルは、より高い\n水準を期待されるようになるわ。,整个初星学园受到的关注大幅提升，\n今后，人们也会对初星学园的偶像\n抱有更高的期待。
0000000000000,星南,より厳しい基準で\n評価されるようになるわ。,她们会被用更加\n严苛的标准来评判。
0000000000000,星南,インフレーションのきっかけとなった\n私を恨む生徒たちも、きっといる。,那些因为我掀起了这场“膨胀”，\n而对我心怀怨言的学生……想必也一定会有吧。
0000000000000,{user},大成しやすくなった新環境を、\nアイドル候補生が望まないはずがない。,偶像候补生们，\n不可能不向往这个更容易出人头地的新环境。
0000000000000,星南,だとしても、\nできる限りのことをしたいの。,即便如此，我还是想尽我所能，\n做到自己能做的一切。
0000000000000,星南,学園を去る私が、\n後輩たちに遺せるものは……,即将离开学园的我，\n能够留给后辈们的……
0000000000000,星南,頂点の『先』があるのだと、\nこの身をもって教えること。,就是以我自身证明，\n顶点之上，还有更高的地方。
