id,name,text,trans
0000000000000,手毬,嘘っ。\n今日、雨が降るって。,骗人的吧。\n今天居然会下雨。
0000000000000,手毬,朝は一日晴れだったのに……,早上还说全天晴呢……
0000000000000,{user},ああ、念のため折り畳み傘を\n持ってきてます。,嗯，\n我特意带了折叠伞。
0000000000000,手毬,どうしよう。傘、持ってきてない……,怎么办，我没带伞……
select,,お貸しします,借给你
select,,買いましょうか,我们去买一把吧
select,,寮まで\n送りましょう,我送你到\n宿舍吧
0000000000000,手毬,でもそれだとプロデューサーの\n傘がありませんよね？,可是那样的话，\n制作人的伞怎么办？
0000000000000,{user},オーディションを控えていますし、\n体調を一番に考えてください。,马上要参加试镜了，\n请优先考虑自己的身体状况。
0000000000000,手毬,……わかりました。\nありがとうございます。,……明白了。\n谢谢你。
0000000000000,手毬,お礼は結果でお返ししますからっ。,我会用成绩来报答你的。
0000000000000,{user},今後は外に行くことも増えるでしょう。,以后外出活动的机会会增加。
0000000000000,手毬,外に……？\n仕事ってことですか？,外出……？\n是工作吗？
0000000000000,{user},はい。いつ仕事が入ってもいいように、\n準備しておきましょう。,是的。随时可能有工作安排，\n我们要做好准备。
0000000000000,手毬,……はいっ！,……好的！
0000000000000,手毬,へっ？\nそれって、傘をふたりで……？,诶？\n那是要一起打伞吗……？
0000000000000,手毬,（そ、それ誤解されたり\n　しない……！？）,（那、那样不会\n被误会吧……！？）
0000000000000,{user},月村さん？,月村同学？
0000000000000,手毬,か、考えさせてくださいっ！！,让我、让我再想想！！
info,adv_pevent_001_ttmr_activity_011.txt,,
译者,gpt-4o-2024-05-13,,
